TDate,TV,Radio,Newspaper,Sales
6/10/14,230.1,37.8,69.2,22.1
11/14/15,44.5,39.3,45.1,10.4
5/16/14,17.2,45.9,69.3,9.3
8/28/14,151.5,41.3,58.5,18.5
6/29/15,180.8,10.8,58.4,12.9
12/3/14,8.7,48.9,75,7.2
9/8/12,57.5,32.8,23.5,11.8
7/6/12,120.2,19.6,11.6,13.2
3/29/15,8.6,2.1,1,4.8
2/4/12,199.8,2.6,21.2,10.6
11/4/14,66.1,5.8,24.2,8.6
10/18/14,214.7,24,4,17.4
2/28/15,23.8,35.1,65.9,9.2
8/3/13,97.5,7.6,7.2,9.7
4/21/15,204.1,32.9,46,19
6/28/15,195.4,47.7,52.9,22.4
11/13/13,67.8,36.6,114,12.5
10/31/12,281.4,39.6,55.8,24.4
6/13/12,69.2,20.5,18.3,11.3
1/27/12,147.3,23.9,19.1,14.6
3/11/14,218.4,27.7,53.4,18
7/5/15,237.4,5.1,23.5,12.5
11/4/15,13.2,15.9,49.6,5.6
2/19/15,228.3,16.9,26.2,15.5
7/4/14,62.3,12.6,18.3,9.7
9/9/15,262.9,3.5,19.5,12
8/3/14,142.9,29.3,12.6,15
9/26/12,240.1,16.7,22.9,15.9
2/13/14,248.8,27.1,22.9,18.9
1/5/12,70.6,16,40.8,10.5
12/17/12,292.9,28.3,43.2,21.4
11/17/15,112.9,17.4,38.6,11.9
5/31/13,97.2,1.5,30,9.6
2/16/12,265.6,20,0.3,17.4
8/12/13,95.7,1.4,7.4,9.5
3/12/13,290.7,4.1,8.5,12.8
10/22/14,266.9,43.8,5,25.4
9/28/12,74.7,49.4,45.7,14.7
7/31/12,43.1,26.7,35.1,10.1
9/24/12,228,37.7,32,21.5
8/17/13,202.5,22.3,31.6,16.6
11/10/13,177,33.4,38.7,17.1
11/21/12,293.6,27.7,1.8,20.7
9/19/12,206.9,8.4,26.4,12.9
2/29/12,25.1,25.7,43.3,8.5
3/1/14,175.1,22.5,31.5,14.9
5/8/13,89.7,9.9,35.7,10.6
10/28/12,239.9,41.5,18.5,23.2
11/14/15,227.2,15.8,49.9,14.8
12/13/15,66.9,11.7,36.8,9.7
9/25/14,199.8,3.1,34.6,11.4
3/28/14,100.4,9.6,3.6,10.7
12/20/15,216.4,41.7,39.6,22.6
2/8/14,182.6,46.2,58.7,21.2
12/5/12,262.7,28.8,15.9,20.2
8/28/14,198.9,49.4,60,23.7
2/6/13,7.3,28.1,41.4,5.5
9/8/13,136.2,19.2,16.6,13.2
4/4/12,210.8,49.6,37.7,23.8
7/13/12,210.7,29.5,9.3,18.4
7/28/12,53.5,2,21.4,8.1
5/23/12,261.3,42.7,54.7,24.2
7/19/14,239.3,15.5,27.3,15.7
2/16/15,102.7,29.6,8.4,14
8/9/14,131.1,42.8,28.9,18
2/8/14,69,9.3,0.9,9.3
3/16/15,31.5,24.6,2.2,9.5
9/12/14,139.3,14.5,10.2,13.4
12/13/15,237.4,27.5,11,18.9
2/15/12,216.8,43.9,27.2,22.3
1/16/15,199.1,30.6,38.7,18.3
12/18/13,109.8,14.3,31.7,12.4
6/24/15,26.8,33,19.3,8.8
1/15/13,129.4,5.7,31.3,11
10/19/13,213.4,24.6,13.1,17
11/28/14,16.9,43.7,89.4,8.7
12/6/14,27.5,1.6,20.7,6.9
2/15/12,120.5,28.5,14.2,14.2
4/2/12,5.4,29.9,9.4,5.3
12/9/14,116,7.7,23.1,11
10/13/14,76.4,26.7,22.3,11.8
6/26/13,239.8,4.1,36.9,12.3
11/25/15,75.3,20.3,32.5,11.3
1/26/12,68.4,44.5,35.6,13.6
10/4/14,213.5,43,33.8,21.7
2/4/13,193.2,18.4,65.7,15.2
6/24/13,76.3,27.5,16,12
11/23/15,110.7,40.6,63.2,16
8/13/15,88.3,25.5,73.4,12.9
7/31/14,109.8,47.8,51.4,16.7
9/9/15,134.3,4.9,9.3,11.2
2/21/15,28.6,1.5,33,7.3
4/21/14,217.7,33.5,59,19.4
8/13/15,250.9,36.5,72.3,22.2
4/7/13,107.4,14,10.9,11.5
4/6/14,163.3,31.6,52.9,16.9
3/9/15,197.6,3.5,5.9,11.7
6/22/15,184.9,21,22,15.5
4/19/13,289.7,42.3,51.2,25.4
9/20/15,135.2,41.7,45.9,17.2
6/27/15,222.4,4.3,49.8,11.7
3/29/13,296.4,36.3,100.9,23.8
4/29/14,280.2,10.1,21.4,14.8
3/29/12,187.9,17.2,17.9,14.7
10/30/13,238.2,34.3,5.3,20.7
4/25/12,137.9,46.4,59,19.2
1/18/13,25,11,29.7,7.2
12/9/13,90.4,0.3,23.2,8.7
12/25/13,13.1,0.4,25.6,5.3
12/29/15,255.4,26.9,5.5,19.8
5/29/13,225.8,8.2,56.5,13.4
4/30/12,241.7,38,23.2,21.8
4/27/14,175.7,15.4,2.4,14.1
12/7/14,209.6,20.6,10.7,15.9
6/26/15,78.2,46.8,34.5,14.6
2/25/15,75.1,35,52.7,12.6
5/4/13,139.2,14.3,25.6,12.2
8/13/12,76.4,0.8,14.8,9.4
6/25/12,125.7,36.9,79.2,15.9
11/30/14,19.4,16,22.3,6.6
1/25/14,141.3,26.8,46.2,15.5
7/28/14,18.8,21.7,50.4,7
1/26/12,224,2.4,15.6,11.6
5/8/15,123.1,34.6,12.4,15.2
2/15/14,229.5,32.3,74.2,19.7
5/2/13,87.2,11.8,25.9,10.6
6/15/14,7.8,38.9,50.6,6.6
9/10/13,80.2,0,9.2,8.8
6/12/12,220.3,49,3.2,24.7
11/7/15,59.6,12,43.1,9.7
11/16/15,0.7,39.6,8.7,1.6
1/16/13,265.2,2.9,43,12.7
12/24/14,8.4,27.2,2.1,5.7
9/1/12,219.8,33.5,45.1,19.6
12/12/12,36.9,38.6,65.6,10.8
5/11/15,48.3,47,8.5,11.6
9/18/12,25.6,39,9.3,9.5
10/25/14,273.7,28.9,59.7,20.8
7/17/14,43,25.9,20.5,9.6
3/25/15,184.9,43.9,1.7,20.7
3/6/15,73.4,17,12.9,10.9
10/24/15,193.7,35.4,75.6,19.2
8/23/13,220.5,33.2,37.9,20.1
1/29/14,104.6,5.7,34.4,10.4
11/27/13,96.2,14.8,38.9,11.4
8/17/15,140.3,1.9,9,10.3
8/1/14,240.1,7.3,8.7,13.2
1/10/14,243.2,49,44.3,25.4
1/10/13,38,40.3,11.9,10.9
5/7/13,44.7,25.8,20.6,10.1
3/27/15,280.7,13.9,37,16.1
10/5/15,121,8.4,48.7,11.6
12/9/14,197.6,23.3,14.2,16.6
9/5/13,171.3,39.7,37.7,19
5/28/12,187.8,21.1,9.5,15.6
9/5/13,4.1,11.6,5.7,3.2
3/7/13,93.9,43.5,50.5,15.3
8/23/14,149.8,1.3,24.3,10.1
11/17/15,11.7,36.9,45.2,7.3
12/24/12,131.7,18.4,34.6,12.9
7/11/15,172.5,18.1,30.7,14.4
12/10/15,85.7,35.8,49.3,13.3
4/17/14,188.4,18.1,25.6,14.9
12/27/14,163.5,36.8,7.4,18
5/20/12,117.2,14.7,5.4,11.9
8/3/13,234.5,3.4,84.8,11.9
5/19/13,17.9,37.6,21.6,8
5/17/13,206.8,5.2,19.4,12.2
1/8/13,215.4,23.6,57.6,17.1
6/27/13,284.3,10.6,6.4,15
2/14/15,50,11.6,18.4,8.4
2/28/14,164.5,20.9,47.4,14.5
11/21/12,19.6,20.1,17,7.6
9/30/14,168.4,7.1,12.8,11.7
8/20/13,222.4,3.4,13.1,11.5
10/27/12,276.9,48.9,41.8,27
7/10/15,248.4,30.2,20.3,20.2
1/7/13,170.2,7.8,35.2,11.7
8/17/14,276.7,2.3,23.7,11.8
3/6/15,165.6,10,17.6,12.6
12/3/14,156.6,2.6,8.3,10.5
9/19/14,218.5,5.4,27.4,12.2
6/12/15,56.2,5.7,29.7,8.7
7/30/15,287.6,43,71.8,26.2
4/29/13,253.8,21.3,30,17.6
12/10/14,205,45.1,19.6,22.6
5/19/13,139.5,2.1,26.6,10.3
7/3/13,191.1,28.7,18.2,17.3
4/1/13,286,13.9,3.7,15.9
6/26/12,18.7,12.1,23.4,6.7
9/18/13,39.5,41.1,5.8,10.8
7/5/12,75.5,10.8,6,9.9
7/1/12,17.2,4.1,31.6,5.9
11/28/14,166.8,42,3.6,19.6
12/9/12,149.7,35.6,6,17.3
5/8/13,38.2,3.7,13.8,7.6
4/22/15,94.2,4.9,8.1,9.7
8/27/12,177,9.3,6.4,12.8
2/20/12,283.6,42,66.2,25.5
3/26/12,232.1,8.6,8.7,13.4